,longitude,latitude,1,2,3,4,5,6,7,8,9,10,11,12
79669,138.75,-4.75,28.5,28.7,28.5,30.2,29.9,28.8,27.3,28.5,28.4,28.4,29.2,29.0
79091,136.75,-14.25,29.4,29.8,29.0,29.7,28.2,26.0,23.9,26.0,26.4,28.3,29.8,30.2
22723,-57.75,-19.75,28.8,29.0,28.2,25.5,23.6,22.6,24.7,25.4,26.6,27.7,28.1,28.1
40355,22.75,-18.25,25.7,25.6,25.6,24.9,21.3,18.0,17.7,21.0,25.1,28.7,27.7,26.1
17837,-71.75,-40.25,10.9,10.0,7.9,5.3,2.8,1.9,-0.2,-0.2,1.4,3.6,6.5,8.1
20478,-65.25,-24.75,22.1,21.8,19.8,16.5,13.2,11.4,12.7,13.4,16.4,18.3,20.7,20.9
74610,122.25,-23.75,32.2,33.6,27.1,23.2,18.8,17.0,14.0,16.7,20.9,28.6,30.6,32.9
38779,19.25,-17.75,25.1,24.8,24.9,24.3,21.7,18.0,17.8,21.2,25.7,28.5,27.1,26.1
38378,18.25,-25.75,27.1,27.5,25.4,23.9,19.5,14.9,14.4,15.4,21.0,21.8,24.8,27.0
79547,138.25,-25.75,31.5,33.6,27.9,23.3,16.8,15.7,12.6,16.6,18.9,25.1,30.3,31.3
82419,148.75,-35.25,20.9,21.2,16.7,11.2,7.5,7.2,3.7,4.7,7.4,11.2,16.6,18.9
49756,45.75,-19.25,22.5,22.6,22.6,22.2,19.5,17.6,17.1,19.3,21.6,23.5,24.5,23.3
38595,18.75,-29.75,22.4,23.7,21.7,21.4,17.6,12.6,11.5,11.4,16.7,15.9,18.7,22.2
42154,26.75,-3.25,22.8,23.1,23.8,24.0,23.9,23.2,22.7,23.1,23.2,23.6,23.3,23.1
50132,46.75,-19.75,21.0,20.9,20.9,19.5,16.7,14.9,13.9,15.7,17.9,20.2,21.8,21.3
81332,144.25,-33.75,26.4,26.8,21.4,15.7,12.6,10.9,8.9,10.6,13.1,17.7,22.5,25.5
16651,-75.25,-7.75,27.1,27.4,28.2,26.7,25.8,25.9,26.8,27.4,26.3,26.7,26.7,26.9
73072,117.75,-24.75,30.4,32.7,26.4,20.5,15.9,14.9,11.6,13.8,17.4,24.8,27.4,31.0
